ID,elev,lon,lat,mean_tavg,total_prec,temp_bin_label,precip_bin_label,LC1,LC1_perc,LC2,LC2_perc,LC3,LC3_perc,LC1_cci,LC1_perc_cci,LC2_cci,LC2_perc_cci,LC3_cci,LC3_perc_cci,TreeCat
ID0098,294,25.845833333333328,42.50416666666667,11.845834,59.0,10 to 12,40 to 60,60,33.8,10,27.2,30,26.3,190,55.6,40,33.3,200,11.1,noTree
ID0099,145,27.587499999999995,43.2625,11.366667,55.1,10 to 12,40 to 60,60,53.3,30,33.3,50,6.9,150,55.6,200,22.2,11,11.1,noTree
ID0100,59,27.22916666666666,45.7875,10.516666,50.3,10 to 12,40 to 60,60,43.1,30,35.9,40,18.5,11,44.4,190,33.3,150,22.2,noTree
ID0101,987,25.85416666666666,46.8125,4.8875,58.5,4 to 6,40 to 60,60,43.0,30,29.9,10,18.4,190,55.6,10,22.2,130,11.1,noTree
ID0102,69,28.77083333333333,47.1875,9.8375,55.2,8 to 10,40 to 60,60,22.4,10,20.4,30,20.1,11,44.4,150,33.3,190,11.1,noTree
ID0103,264,26.64583333333333,48.770833333333336,8.029166,59.9,8 to 10,40 to 60,60,88.1,30,5.7,50,5.7,150,55.6,200,33.3,11,11.1,noTree
ID0104,185,28.329166666666666,49.07916666666667,7.858333,60.8,6 to 8,60 to 80,60,30.2,50,22.7,30,20.4,190,77.8,30,11.1,10,11.1,noTree
ID0105,385,25.962499999999995,49.4875,6.95,63.8,6 to 8,60 to 80,60,44.2,10,22.7,30,12.2,11,55.6,10,22.2,60,11.1,noTree
ID0106,282,28.745833333333326,49.7625,6.95,63.7,6 to 8,60 to 80,60,47.0,30,25.5,10,19.2,130,66.7,150,22.2,190,11.1,noTree
ID0107,248,26.30416666666666,50.520833333333336,7.320833,62.4,6 to 8,60 to 80,60,48.5,10,26.4,30,19.2,11,44.4,150,22.2,10,22.2,noTree
ID0108,191,28.720833333333328,50.6625,6.7791667,62.0,6 to 8,60 to 80,60,42.1,10,28.0,30,24.7,10,66.7,60,22.2,100,11.1,noTree
ID0109,155,26.89583333333333,51.329166666666666,7.1291666,62.9,6 to 8,60 to 80,60,51.7,30,24.0,50,15.9,190,44.4,150,44.4,130,11.1,noTree
ID0110,140,28.870833333333326,51.40416666666667,6.758333,64.1,6 to 8,60 to 80,60,36.3,30,30.9,10,21.5,150,55.6,10,44.4,0,0.0,noTree
ID0111,137,27.40416666666666,52.22916666666667,6.9416666,63.4,6 to 8,60 to 80,60,57.6,30,31.3,50,10.6,60,44.4,70,33.3,10,11.1,noTree
ID0112,140,27.94583333333333,52.72083333333334,6.5666666,62.0,6 to 8,60 to 80,60,56.6,30,26.0,40,7.4,60,77.8,10,22.2,0,0.0,noTree
